date,category,score,invitations,nocs
05-May-22,Occupations In-Demand,85,91,"1221, 1122, 1241, 1123, 0621, 4033, 0014, 4164, 4212, 0121, 4169, 2212, 0421, 9232, 8222, 4216, 0911, 1243, 2241, 2263, 0821, 4152, 0423, 7237, 9212, 2142, 2151, 2242, 7251, 0712, 7283, 4166, 2144, 2243, 7271, 2252, 1313, 2253, 4161, 7232, 1222"
05-May-22,Express Entry,85,106,"1221, 1122, 1241, 1123, 0621, 4033, 0014, 4164, 4212, 0121, 4169, 2212, 0421, 9232, 8222, 4216, 0911, 1243, 2241, 2263, 0821, 4152, 0423, 7237, 9212, 2142, 2151, 2242, 7251, 0712, 7283, 4166, 2144, 2243, 7271, 2252, 1313, 2253, 4161, 7232, 1222 "
08-Mar-22,Occupations In-Demand,87,43,"0014, 0121, 0421, 0621, 0911, 1122, 1123, 1213, 1214, 1221, 1222, 1241, 1243, 1252, 2142, 2253, 2263, 3143, 3211, 3215, 4033, 4151, 4153, 4162, 4164, 4166, 4212, 7246, 7295, 8222, 9212 "
08-Mar-22,Express Entry,87,39,"0014, 0121, 0421, 0621, 0911, 1122, 1123, 1213, 1214, 1221, 1222, 1241, 1243, 1252, 2142, 2253, 2263, 3143, 3211, 3215, 4033, 4151, 4153, 4162, 4164, 4166, 4212, 7246, 7295, 8222, 9212 "
12-Jan-22,Occupations In-Demand,68,67,"3211, 3234, 4151, 3216, 3143, 3215 "
12-Jan-22,Express Entry,68,37,"3211, 3234, 4151, 3216, 3143, 3215"
18-Nov-21,Occupations In-Demand,65,208,"0711, 0016, 7242, 0712, 7294, 7231, 7281, 7243, 7201, 7371, 7203, 7235, 7283, 7272 "
18-Nov-21,Express Entry,65,425,"0711, 0016, 7242, 0712, 7294, 7231, 7281, 7243, 7201, 7371, 7203, 7235, 7283, 7272 "
27-Sep-21,Express Entry,71,152,"0014, 0016, 0121, 0421, 0423, 0621, 0651, 0711, 0712, 0821, 0911, 1122, 1123, 1214, 1221, 1222, 1224, 1241, 1243, 1251, 1252, 1313, 2142, 2144, 2151, 2212, 2231, 2241, 2242, 2244, 2252, 2253, 2254, 2262, 2263, 2264, 3143, 3211, 3215, 3234, 4152, 4153, 4156, 4161, 4162, 4164, 4166, 4167, 4169, 4212, 4216, 7231, 7237, 7241, 7294, 7295, 7321, 7371, 7384, 8222, 9212 "
27-Sep-21,Occupations In-Demand,71,239,"0014, 0016, 0121, 0421, 0423, 0621, 0651, 0711, 0712, 0821, 0911, 1122, 1123, 1214, 1221, 1222, 1224, 1241, 1243, 1251, 1252, 1313, 2142, 2144, 2151, 2212, 2231, 2241, 2242, 2244, 2252, 2253, 2254, 2262, 2263, 2264, 3143, 3211, 3215, 3234, 4152, 4153, 4156, 4161, 4162, 4164, 4166, 4167, 4169, 4212, 4216, 7231, 7237, 7241, 7294, 7295, 7321, 7371, 7384, 8222, 9212"
08-Sep-21,Express Entry,66,316,"0911, 0821, 3211, 3234, 9232, 4151, 9212, 3216, 3215, 3143, 8255, 2225, 9226, 0822, 3122, 9231 "
08-Sep-21,Occupations In-Demand,66,212,"0911, 0821, 3211, 3234, 9232, 4151, 9212, 3216, 3215, 3143, 8255, 2225, 9226, 0822, 3122, 9231 "
19-Aug-21,Express Entry,71,161,"0014, 0016, 0121, 0132, 0421, 0621, 0711, 0712, 0821, 0911, 1122, 1123, 1213, 1221, 1222, 1224, 1241, 1252, 2131, 2142, 2143, 2151, 2232, 2241, 2252, 2253, 2263, 2264, 3143, 3211, 3215, 3234, 4151, 4153, 4161, 4164, 4166, 4212, 4216, 6316, 7242, 9212, 9232 "
19-Aug-21,Occupations In-Demand,70,335,"0014, 0016, 0121, 0421, 0423, 0621, 0651, 0711, 0821, 0911, 1122, 1123, 1214, 1221, 1222, 1224, 1241, 1243, 1252, 1313, 2131, 2142, 2144, 2151, 2212, 2225, 2231, 2232, 2241, 2242, 2244, 2252, 2263, 2264, 3211, 3215, 3216, 3234, 4152, 4153, 4161, 4162, 4164, 4166, 4212, 4216, 6316, 7205, 7235, 7237, 7242, 7243, 7245, 7246, 7251, 7271, 7281, 7321, 7322, 8222, 9211 "
05-Aug-21,Express Entry,73,171,"0013, 0014, 0016, 0114, 0121, 0421, 0423, 0621, 0651, 0711, 0712, 0821, 0911, 1121, 1122, 1123, 1221, 1222, 1224, 1241, 1243, 1252, 2131, 2142, 2144, 2151, 2212, 2223, 2225, 2231, 2232, 2241, 2242, 2243, 2244, 2252, 2253, 2254, 2261, 2263, 2264, 3211, 3215, 3234, 4152, 4153, 4156, 4161, 4162, 4164, 4165, 4166, 4169, 4212, 6316, 7202, 7231, 7236, 7237, 7241, 7312, 7321, 7381, 7384, 9232 "
05-Aug-21,Occupations In-Demand,73,281,"0013, 0014, 0016, 0114, 0121, 0421, 0423, 0621, 0651, 0711, 0712, 0821, 0911, 1121, 1122, 1123, 1221, 1222, 1224, 1241, 1243, 1252, 2131, 2142, 2144, 2151, 2212, 2223, 2225, 2231, 2232, 2241, 2242, 2243, 2244, 2252, 2253, 2254, 2261, 2263, 2264, 3211, 3215, 3234, 4152, 4153, 4156, 4161, 4162, 4164, 4165, 4166, 4169, 4212, 6316, 7202, 7231, 7236, 7237, 7241, 7312, 7321, 7381, 7384, 9232 "
21-Jul-21,Express Entry,77,84,"0013, 0014, 0016, 0114, 0121, 0132, 0421, 0423, 0621, 0651, 0711, 0712, 0821, 0911, 1121, 1122, 1123, 1214, 1215, 1221, 1222, 1224, 1241, 1243, 1252, 2131, 2142, 2144, 2151, 2212, 2223, 2225, 2231, 2232, 2241, 2242, 2253, 2262, 2263, 3143, 3211, 3234, 4152, 4156, 4161, 4162, 4164, 4165, 4166, 4167, 4169, 4212, 4216, 6316, 6344, 7231, 7237, 7241, 7243, 7246, 7294, 8255, 9232"
21-Jul-21,Occupations In-Demand,77,196,"0013, 0014, 0016, 0114, 0121, 0132, 0421, 0423, 0621, 0651, 0711, 0712, 0821, 0911, 1121, 1122, 1123, 1214, 1215, 1221, 1222, 1224, 1241, 1243, 1252, 2131, 2142, 2144, 2151, 2212, 2223, 2225, 2231, 2232, 2241, 2242, 2253, 2262, 2263, 3143, 3211, 3234, 4152, 4156, 4161, 4162, 4164, 4165, 4166, 4167, 4169, 4212, 4216, 6316, 6344, 7231, 7237, 7241, 7243, 7246, 7294, 8255, 9232 "
08-Jul-21,Express Entry,80,99,"0013, 0014, 0016, 0114, 0121, 0124, 0421, 0423, 0621, 0651, 0711, 0712, 0821, 0822, 0911, 1121, 1122, 1123, 1213, 1214, 1215, 1221, 1222, 1224, 1241, 1243, 1252, 1313, 2131, 2132, 2151, 2212, 2232, 2241, 2242, 2253, 2262, 2263, 2264, 3211, 3234, 4033, 4152, 4162, 4165, 4166, 4169, 4212, 4216, 7236, 7237, 7241, 7242, 7244, 7251, 7294, 7321, 7371, 7384, 8221, 8222, 9212 "
