noc,title,skill_level,2019_est_employments,2019_wage_est,job_outlook,job_openings,soft_skills
11,Legislators ,Mgt ,450,"$52,500.00",Fair ,140,n.a. 
12,Senior government managers and officials ,Mgt ,690,"$115,000.00",Good ,170,"Organized, excellent written communication, excellent oral communication "
13,"Senior managers - financial, communications and other business services ",Mgt ,1020,"$147,700.00",Good ,240,"Excellent written communication, organized, excellent oral communication "
14,"Senior managers - health, education, social and community services and membership organizations ",Mgt ,890,"$95,000.00",Good ,240,"Effective interpersonal skills, excellent written communication, excellent oral communication "
15,"Senior managers - trade, broadcasting and other services, n.e.c. ",Mgt ,850,"$80,500.00",Fair ,250,"Organized, team player, attention to detail "
16,"Senior managers - construction, transportation, production and utilities ",Mgt ,960,"$93,400.00",Fair ,280,"Attention to detail, excellent oral communication, tight deadlines "
111,Financial managers ,Mgt ,1870,"$100,300.00",Fair ,390,"Organized, attention to detail, accurate "
112,Human resources managers ,Mgt ,1160,"$93,300.00",Fair ,250,"Organized, excellent oral communication, team player "
113,Purchasing managers ,Mgt ,380,"$100,300.00",Fair ,70,"Team player, organized, attention to detail "
114,Other administrative services managers ,Mgt ,720,"$84,700.00",Fair ,160,"Organized, attention to detail, excellent oral communication "
121,"Insurance, real estate and financial brokerage managers ",Mgt ,750,"$101,100.00",Fair ,190,"Attention to detail, team player, effective interpersonal skills "
122,"Banking, credit and other investment managers ",Mgt ,1710,"$86,400.00",Fair ,300,"Organized, effective interpersonal skills, attention to detail, excellent oral communication "
124,"Advertising, marketing and public relations managers ",Mgt ,1240,"$86,900.00",Fair ,200,"Organized, team player, effective interpersonal skills "
125,Other business services managers ,Mgt ,560,"$63,200.00",Fair ,130,"Organized, dependability, effective interpersonal skills "
131,Telecommunication carriers managers ,Mgt ,310,"$122,500.00",Fair ,30,"Organized, work under pressure, team player, effective interpersonal skills, accurate, excellent oral communication "
132,Postal and courier services managers ,Mgt ,140,"$65,200.00",Fair ,10,n.a. 
211,Engineering managers ,Mgt ,420,"$161,600.00",Fair ,110,"Excellent oral communication, excellent written communication, attention to detail "
212,Architecture and science managers ,Mgt ,240,"$106,000.00",Fair ,50,"Excellent oral communication, team player, excellent written communication "
213,Computer and information systems managers ,Mgt ,1090,"$108,600.00",Good ,210,"Organized, team player, attention to detail "
311,Managers in health care ,Mgt ,1320,"$101,800.00",Fair ,350,"Organized, effective interpersonal skills, excellent oral communication "
411,Government managers - health and social policy development and program administration ,Mgt ,170,"$107,100.00",Fair ,40,"Judgement, excellent written communication, accurate, excellent oral communication "
412,"Government managers - economic analysis, policy development and program administration ",Mgt ,140,"$107,100.00",Fair ,30,"Excellent oral communication, initiative, excellent written communication, effective interpersonal skills, dependability "
414,Other managers in public administration ,Mgt ,240,"$83,600.00",Fair ,60,n.a. 
421,Administrators - post-secondary education and vocational training ,Mgt ,630,"$112,300.00",Fair ,110,"Effective interpersonal skills, excellent oral communication, judgement, excellent written communication "
422,School principals and administrators of elementary and secondary education ,Mgt ,1170,"$109,600.00",Fair ,340,"Judgement, values and ethics, organized "
423,"Managers in social, community and correctional services ",Mgt ,1130,"$66,500.00",Fair ,270,"Excellent written communication, effective interpersonal skills, excellent oral communication "
431,Commissioned police officers ,Mgt ,70,"$154,500.00",Fair ,20,n.a. 
432,Fire chiefs and senior firefighting officers ,Mgt ,60,"$123,900.00",Fair ,20,n.a. 
433,Commissioned officers of the Canadian Forces ,Mgt ,320,"$63,700.00",Limited ,30,n.a. 
511,"Library, archive, museum and art gallery managers ",Mgt ,110,"$57,300.00",Fair ,30,"Attention to detail, work under pressure, tight deadlines "
512,"Managers - publishing, motion pictures, broadcasting and performing arts ",Mgt ,100,"$81,600.00",Fair ,50,"Organized, effective interpersonal skills, team player, excellent oral communication "
513,"Recreation, sports and fitness program and service directors ",Mgt ,440,"$51,000.00",Fair ,100,"Organized, reliability, effective interpersonal skills "
601,Corporate sales managers ,Mgt ,1550,"$113,900.00",Fair ,340,"Team player, excellent oral communication, organized "
621,Retail and wholesale trade managers ,Mgt ,14320,"$65,200.00",Good ,3490,"Team player, organized, attention to detail "
631,Restaurant and food service managers ,Mgt ,4030,"$43,700.00",Good ,680,"Team player, organized, reliability "
632,Accommodation service managers ,Mgt ,1170,"$49,700.00",Fair ,340,"Team player, attention to detail, effective interpersonal skills "
651,"Managers in customer and personal services, n.e.c. ",Mgt ,810,"$53,700.00",Fair ,120,"Organized, reliability, team player "
711,Construction managers ,Mgt ,3050,"$92,400.00",Good ,730,"Attention to detail, tight deadlines, organized "
712,Home building and renovation managers ,Mgt ,1390,"$54,200.00",Fair ,380,"Reliability, organized, attention to detail, flexibility "
714,Facility operation and maintenance managers ,Mgt ,2350,"$82,400.00",Fair ,480,"Reliability, attention to detail, team player "
731,Managers in transportation ,Mgt ,930,"$81,500.00",Good ,260,"Team player, organized, excellent oral communication "
811,Managers in natural resources production and fishing ,Mgt ,750,"$155,700.00",Limited ,50,"Excellent oral communication, team player, judgement "
821,Managers in agriculture ,Mgt ,22560,"$27,200.00",Good ,6520,"Attention to detail, organized, team player "
822,Managers in horticulture ,Mgt ,180,"$64,700.00",Fair ,50,"Attention to detail, team player, work under pressure, initiative "
911,Manufacturing managers ,Mgt ,1580,"$105,300.00",Fair ,390,"Organized, team player, attention to detail "
912,Utilities managers ,Mgt ,600,"$140,900.00",Fair ,130,n.a. 
1111,Financial auditors and accountants ,Univ ,5380,"$73,100.00",Fair ,870,"Organized, attention to detail, reliability "
1112,Financial and investment analysts ,Univ ,590,"$87,200.00",Fair ,80,"Organized, accurate, attention to detail "
1113,"Securities agents, investment dealers and brokers ",Univ ,270,"$71,200.00",Fair ,50,n.a. 
1114,Other financial officers ,Univ ,2940,"$70,800.00",Good ,540,"Attention to detail, excellent oral communication, organized "
1121,Human resources professionals ,Univ ,1910,"$80,700.00",Fair ,290,"Team player, excellent oral communication, organized "
1122,Professional occupations in business management consulting ,Univ ,1020,"$83,400.00",Fair ,160,"Excellent oral communication, organized, team player "
1123,"Professional occupations in advertising, marketing and public relations ",Univ ,1710,"$65,400.00",Fair ,230,"Effective interpersonal skills, organized, excellent oral communication "
1211,"Supervisors, general office and administrative support workers ",PS ,420,"$59,000.00",Fair ,80,"Organized, reliability, team player "
1212,"Supervisors, finance and insurance office workers ",PS ,480,"$66,100.00",Fair ,100,"Organized, accurate, reliability "
1213,"Supervisors, library, correspondence and related information workers ",PS ,90,"$75,400.00",Fair ,30,n.a. 
1214,"Supervisors, mail and message distribution occupations ",PS ,560,"$56,900.00",Good ,110,n.a. 
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations ",PS ,1110,"$61,300.00",Fair ,250,"Attention to detail, organized, team player "
1221,Administrative officers ,PS ,8070,"$53,800.00",Good ,1780,"Organized, attention to detail, reliability "
1222,Executive assistants ,PS ,1210,"$66,500.00",Good ,230,"Organized, reliability, excellent written communication "
1223,Human resources and recruitment officers ,PS ,680,"$71,100.00",Fair ,110,"Organized, effective interpersonal skills, excellent oral communication "
1224,Property administrators ,PS ,1430,"$47,100.00",Good ,250,"Excellent oral communication, organized, effective interpersonal skills "
1225,Purchasing agents and officers ,PS ,1570,"$73,800.00",Fair ,320,"Organized, attention to detail, team player "
1226,Conference and event planners ,PS ,460,"$49,000.00",Fair ,70,"Attention to detail, organized, effective interpersonal skills "
1227,Court officers and justices of the peace ,PS ,110,"$59,400.00",Fair ,20,n.a. 
1228,"Employment insurance, immigration, border services and revenue officers ",PS ,410,"$69,600.00",Fair ,70,"Accurate, organized, excellent oral communication, attention to detail, work under pressure, client focus, effective interpersonal skills "
1241,Administrative assistants ,PS ,8050,"$48,800.00",Good ,1490,"Organized, reliability, attention to detail "
1242,Legal administrative assistants ,PS ,970,"$46,700.00",Limited ,160,"Attention to detail, reliability, organized "
1243,Medical administrative assistants ,PS ,1670,"$43,400.00",Fair ,310,"Organized, reliability, attention to detail "
1251,"Court reporters, medical transcriptionists and related occupations ",PS ,370,"$44,500.00",Fair ,70,"Reliability, excellent written communication, accurate, attention to detail "
1252,Health information management occupations ,PS ,280,"$57,400.00",Fair ,50,n.a. 
1253,Records management technicians ,PS ,100,"$56,600.00",Limited ,20,"Accurate, team player, organized "
